Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FT,FTA,3P,3PA,2P,2PA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Nicolò Melli,PF,30,NOP,22,0,241,2.2,8.8,0.9,1.0,1.0,5.5,1.2,3.3,1.8,6.7,8.5,3.7,1.3,0.1,1.0,4.2,6.4
Nicolò Melli,PF,30,DAL,23,4,325,3.4,9.1,1.4,2.0,1.8,5.3,1.7,3.8,1.9,5.3,7.2,2.1,0.6,0.2,0.6,3.3,10.1
De'Anthony Melton,PG,22,MEM,52,1,1045,5.9,13.5,1.4,1.8,3.0,7.3,2.9,6.3,1.0,4.5,5.5,4.5,2.1,1.1,2.3,2.9,16.3
,,,,,,,,,,,,,,,,,,,,,,,
Sam Merrill,SG,24,MIL,30,2,233,4.9,11.1,0.6,0.6,3.2,7.3,1.7,3.9,0.9,3.7,4.6,3.2,1.2,0.2,1.5,2.6,13.8
Chimezie Metu,C,23,SAC,36,6,488,6.7,13.2,2.3,3.2,1.0,2.7,5.8,10.5,2.3,6.0,8.3,2.1,1.0,1.3,2.1,4.4,16.7
Khris Middleton,SF,29,MIL,68,68,2269,8.1,17.0,3.4,3.7,2.4,5.8,5.7,11.2,0.9,5.6,6.4,5.9,1.2,0.1,2.8,2.5,22.0
Darius Miller,SF,30,OKC,18,0,197,4.0,8.8,2.2,2.2,3.1,7.7,0.9,1.1,0.4,4.0,4.4,3.8,2.4,0.9,1.5,2.4,13.3
Patty Mills,PG,32,SAS,68,1,1685,5.4,13.1,1.5,1.7,3.4,9.2,1.9,3.9,0.4,2.1,2.5,3.5,0.9,0.1,1.4,1.7,15.7
Paul Millsap,PF,35,DEN,56,36,1162,5.9,12.4,2.2,3.0,1.5,4.4,4.4,8.0,2.4,5.8,8.1,3.0,1.6,1.1,1.6,3.4,15.6
Shake Milton,SG,24,PHI,63,4,1461,7.4,16.4,3.6,4.3,1.7,5.0,5.6,11.4,0.8,2.8,3.6,4.8,1.0,0.4,2.5,3.2,20.1
Donovan Mitchell,PG,24,UTA,53,53,1771,9.7,22.2,5.4,6.4,3.6,9.4,6.1,12.8,1.0,3.8,4.8,5.6,1.1,0.3,3.0,2.4,28.5
Adam Mokoka,SG,22,CHI,14,0,56,4.5,12.2,0.0,0.6,0.6,6.4,3.9,5.8,0.6,2.6,3.2,3.2,1.3,0.6,3.2,3.2,9.6
Malik Monk,SG,22,CHO,42,0,878,7.1,16.4,2.4,3.0,3.5,8.7,3.6,7.7,0.6,3.6,4.1,3.6,0.8,0.2,2.3,1.9,20.1
E'Twaun Moore,SG,31,PHO,27,1,389,5.1,11.2,1.1,1.3,1.0,3.2,4.1,8.0,1.3,2.9,4.2,3.7,1.4,0.5,2.1,3.0,12.3
Ja Morant,PG,21,MEM,63,63,2053,7.5,16.8,4.8,6.5,1.3,4.2,6.3,12.6,1.0,3.4,4.4,8.2,1.0,0.2,3.6,1.5,21.1
Juwan Morgan,PF,23,UTA,29,0,147,3.4,7.3,0.7,1.7,1.0,3.2,2.4,4.2,2.2,4.7,6.9,2.2,1.0,0.2,1.0,5.1,8.6
Marcus Morris,PF,31,LAC,57,29,1502,6.6,14.0,1.7,2.1,3.4,7.1,3.3,6.9,0.8,4.8,5.6,1.4,0.8,0.4,1.4,2.8,18.3
Markieff Morris,PF,31,LAL,61,27,1200,4.6,11.3,1.1,1.5,1.9,6.3,2.6,5.1,1.4,6.5,8.0,2.2,0.7,0.6,1.6,3.2,12.2
Monte Morris,PG,25,DEN,47,13,1196,5.6,11.6,1.7,2.2,1.5,4.0,4.1,7.6,0.3,2.6,2.9,4.5,1.0,0.4,1.0,1.4,14.5
Mychal Mulder,PG,26,GSW,60,6,766,5.6,12.5,0.7,1.0,4.0,10.1,1.6,2.4,0.4,2.4,2.8,1.2,0.6,0.6,0.8,2.6,15.8
Dejounte Murray,PG,24,SAS,67,67,2139,7.4,16.4,1.8,2.3,1.1,3.3,6.4,13.0,1.0,7.0,8.0,6.1,1.7,0.1,2.0,2.3,17.7
Jamal Murray,PG,23,DEN,48,48,1704,8.0,16.7,2.8,3.2,2.7,6.7,5.3,10.1,0.8,3.3,4.1,4.9,1.4,0.3,2.3,2.0,21.5
Mike Muscala,C,29,OKC,35,0,645,6.6,14.9,1.8,2.0,3.8,10.3,2.8,4.6,1.1,6.3,7.4,1.6,0.4,0.6,1.2,3.0,18.9
,,,,,,,,,,,,,,,,,,,,,,,
Svi Mykhailiuk,SF-SG,23,TOT,66,14,1324,5.7,13.8,1.0,1.4,2.9,8.5,2.8,5.2,0.7,3.8,4.4,3.0,1.4,0.3,2.4,1.7,15.2
Svi Mykhailiuk,SF,23,DET,36,5,634,4.8,12.7,1.4,1.7,3.2,9.7,1.5,3.0,0.6,3.6,4.2,3.2,1.5,0.3,2.2,1.9,14.1
Svi Mykhailiuk,SG,23,OKC,30,9,690,6.5,14.8,0.7,1.0,2.5,7.5,4.0,7.3,0.7,4.0,4.6,2.8,1.3,0.3,2.6,1.6,16.2
Abdel Nader,SF,27,PHO,24,0,355,5.8,11.8,2.8,3.8,1.8,4.4,4.0,7.4,0.7,5.6,6.3,1.9,1.0,0.9,1.9,3.4,16.2
Larry Nance Jr.,PF,28,CLE,35,27,1091,4.2,9.0,1.0,1.6,1.4,3.8,2.9,5.2,1.8,6.0,7.8,3.5,2.0,0.6,1.8,2.4,10.8
Aaron Nesmith,SF,21,BOS,46,1,669,4.2,9.6,1.2,1.5,2.2,5.8,2.0,3.8,1.5,5.3,6.8,1.2,0.8,0.5,1.2,4.7,11.7
Raul Neto,PG,28,WAS,64,22,1403,5.4,11.5,1.9,2.2,1.6,4.2,3.7,7.3,0.7,3.3,4.0,3.7,1.9,0.2,1.4,2.8,14.3
Georges Niang,PF,27,UTA,72,10,1154,5.5,12.6,0.7,0.7,3.9,9.1,1.7,3.5,0.9,4.6,5.5,1.8,0.8,0.2,1.6,3.6,15.6
Zeke Nnaji,PF,20,DEN,42,1,397,4.5,9.4,1.1,1.4,2.2,5.4,2.4,4.1,1.3,4.6,5.9,0.9,0.7,0.4,0.6,2.6,12.3
Nerlens Noel,C,26,NYK,64,41,1547,3.2,5.2,1.2,1.6,0.0,0.1,3.2,5.1,3.3,6.2,9.5,1.1,1.6,3.3,1.5,4.1,7.5
Jaylen Nowell,SG,21,MIN,42,0,759,6.7,15.9,2.1,2.6,2.4,7.1,4.4,8.8,0.9,3.6,4.5,2.9,1.0,0.6,1.3,3.4,18.0
Frank Ntilikina,PG,22,NYK,33,4,322,3.2,8.8,0.9,2.0,2.6,5.4,0.7,3.5,0.7,2.8,3.5,2.1,2.0,0.4,1.2,5.0,10.0
Kendrick Nunn,PG,25,MIA,56,44,1650,7.0,14.4,1.2,1.3,2.7,7.0,4.3,7.4,0.5,3.4,3.9,3.2,1.1,0.3,1.7,2.4,17.8
James Nunnally,SF,30,NOP,9,0,48,3.7,9.7,0.7,1.5,3.0,9.0,0.7,0.7,1.5,5.2,6.8,2.3,0.0,0.0,1.5,0.7,11.3
Jusuf Nurkić,C,26,POR,37,37,880,7.0,13.6,2.9,4.6,0.5,1.2,6.5,12.4,3.5,10.1,13.6,5.1,1.6,1.6,3.0,4.2,17.3
David Nwaba,SF,28,HOU,30,9,679,5.6,11.6,2.5,3.6,0.9,3.3,4.7,8.2,2.1,4.1,6.3,1.6,1.6,1.1,0.9,3.2,14.6
Jordan Nwora,SF,22,MIL,30,2,274,8.1,17.7,2.5,3.3,3.7,8.1,4.5,9.6,1.2,6.7,7.9,0.9,2.1,0.9,3.2,2.9,22.5
Royce O'Neale,SF,27,UTA,71,71,2241,2.8,6.3,0.6,0.7,1.7,4.5,1.1,1.9,1.4,6.4,7.8,2.9,0.9,0.5,1.3,2.9,8.0
Semi Ojeleye,PF,26,BOS,56,15,950,3.4,8.4,0.9,1.2,2.2,6.0,1.2,2.4,1.2,4.4,5.6,1.4,0.6,0.0,0.8,2.1,9.9
Jahlil Okafor,C,25,DET,27,2,347,6.5,10.6,1.8,2.5,0.2,0.9,6.3,9.6,2.4,4.5,6.8,1.3,0.6,0.5,2.2,4.0,15.0
Chuma Okeke,PF,22,ORL,45,19,1133,4.3,10.3,1.0,1.3,1.6,4.5,2.7,5.8,1.3,4.4,5.8,3.2,1.5,0.7,1.2,1.5,11.1
Josh Okogie,SG,22,MIN,59,37,1197,3.1,7.6,2.5,3.2,0.9,3.2,2.2,4.4,1.9,2.8,4.7,1.9,1.6,0.8,1.3,3.7,9.5
,,,,,,,,,,,,,,,,,,,,,,,
Onyeka Okongwu,C,20,ATL,50,4,601,5.8,8.9,2.2,3.4,0.0,0.2,5.8,8.7,3.7,6.0,9.8,1.1,1.4,2.0,1.7,6.0,13.7
Isaac Okoro,SG,20,CLE,67,67,2173,3.9,9.3,1.9,2.6,1.0,3.5,2.9,5.7,1.1,2.3,3.4,2.1,1.0,0.4,1.4,3.1,10.7
KZ Okpala,PF,21,MIA,37,9,447,2.9,7.7,0.6,1.2,1.0,4.0,1.9,3.7,1.7,3.8,5.5,1.5,0.8,0.9,1.2,4.8,7.4
Victor Oladipo,SG,28,TOT,33,33,1080,7.8,19.2,3.5,4.6,2.6,8.0,5.2,11.2,0.4,4.9,5.3,5.0,1.5,0.5,2.8,2.7,21.7
Victor Oladipo,SG,28,IND,9,9,300,7.7,18.2,3.2,4.4,3.0,8.3,4.7,10.0,0.1,6.0,6.1,4.6,1.8,0.2,2.2,2.8,21.6
Victor Oladipo,SG,28,HOU,20,20,669,8.3,20.5,3.5,4.5,2.6,8.2,5.7,12.3,0.4,4.7,5.1,5.3,1.3,0.5,2.7,2.4,22.8
Victor Oladipo,SG,28,MIA,4,4,111,5.2,13.9,3.9,5.8,1.3,5.5,3.9,8.4,1.0,3.6,4.5,4.5,2.3,0.6,4.5,4.2,15.6
Cameron Oliver,SF,24,HOU,4,0,87,7.9,13.7,0.4,1.7,1.7,5.4,6.2,8.3,2.1,6.6,8.7,2.1,0.8,1.7,1.2,4.6,17.8
Kelly Olynyk,C-PF,29,TOT,70,62,1997,6.1,12.6,2.6,3.2,2.3,6.6,3.8,5.9,1.6,7.2,8.8,3.7,1.4,0.8,2.3,3.7,17.0
Kelly Olynyk,C,29,MIA,43,38,1157,5.0,11.7,1.0,1.2,2.4,7.6,2.6,4.1,1.4,6.8,8.1,2.8,1.2,0.8,1.7,3.8,13.4
Kelly Olynyk,PF,29,HOU,27,24,840,7.5,13.8,4.9,5.8,2.1,5.4,5.4,8.4,1.8,7.9,9.8,4.8,1.7,0.7,3.0,3.6,22.0
Miye Oni,SG,23,UTA,54,0,519,2.4,6.9,0.3,0.4,2.1,6.1,0.3,0.8,1.6,4.2,5.8,1.9,0.8,0.6,1.1,4.2,7.3
Cedi Osman,SF,25,CLE,59,26,1510,5.2,14.0,1.8,2.3,2.4,7.7,2.9,6.2,0.9,3.9,4.8,4.1,1.3,0.2,1.9,2.8,14.6
Daniel Oturu,C,21,LAC,30,0,161,4.9,11.6,2.0,2.7,0.2,1.1,4.7,10.5,4.7,6.0,10.7,2.2,0.9,1.6,2.0,5.4,12.1
Kelly Oubre Jr.,SF,25,GSW,55,50,1687,6.8,15.4,2.6,3.8,1.9,6.1,4.9,9.4,1.7,5.3,7.0,1.6,1.2,0.9,1.5,2.6,18.1
Jabari Parker,PF,25,TOT,13,0,165,6.5,12.0,2.2,2.8,0.4,2.4,6.1,9.6,2.2,7.0,9.2,2.4,0.2,1.1,2.2,2.8,15.7
Jabari Parker,PF,25,SAC,3,0,27,5.3,9.3,0.0,0.0,0.0,1.3,5.3,8.0,1.3,6.7,8.0,1.3,0.0,1.3,4.0,5.3,10.7
Jabari Parker,PF,25,BOS,10,0,138,6.8,12.5,2.6,3.4,0.5,2.6,6.3,9.9,2.3,7.0,9.4,2.6,0.3,1.0,1.8,2.3,16.7
Eric Paschall,PF,24,GSW,40,2,695,7.7,15.4,3.5,4.9,0.9,2.8,6.7,12.6,1.5,5.2,6.6,2.6,0.6,0.4,2.2,3.5,19.7
Anžejs Pasečņiks,C,25,WAS,1,0,6,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,6.0,6.0,0.0,0.0,30.0,12.0,0.0
Patrick Patterson,PF,31,LAC,38,5,582,4.5,10.2,0.8,1.1,2.5,6.9,2.0,3.3,1.2,3.5,4.6,1.8,0.9,0.5,0.7,2.8,12.2
Justin Patton,C,23,HOU,13,6,247,4.2,10.2,0.4,0.6,1.3,5.0,2.9,5.2,2.0,5.1,7.1,2.0,1.7,2.0,0.6,5.0,10.2
Chris Paul,PG,35,PHO,70,70,2199,7.2,14.4,2.8,3.0,1.7,4.2,5.5,10.2,0.4,4.7,5.1,10.2,1.6,0.3,2.6,2.7,18.8
Cameron Payne,PG,26,PHO,60,1,1079,6.4,13.2,1.7,1.9,2.4,5.5,3.9,7.6,0.5,4.3,4.8,7.2,1.2,0.5,2.0,3.2,16.8
Elfrid Payton,PG,26,NYK,63,63,1484,6.5,15.1,1.8,2.6,0.7,2.4,5.8,12.7,1.6,3.7,5.2,4.9,1.1,0.2,2.5,2.8,15.5
Gary Payton II,PG,28,GSW,10,0,40,9.0,11.7,2.7,3.6,1.8,3.6,7.2,8.1,1.8,8.1,9.9,0.9,5.4,0.9,0.9,7.2,22.5
Norvel Pelle,C,27,TOT,13,0,84,3.4,6.4,1.7,2.6,0.0,0.0,3.4,6.4,2.6,5.6,8.1,0.9,0.4,3.9,1.3,6.0,8.6
Norvel Pelle,C,27,BRK,3,0,28,3.9,9.0,0.0,0.0,0.0,0.0,3.9,9.0,3.9,5.1,9.0,0.0,0.0,3.9,3.9,11.6,7.7
Norvel Pelle,C,27,SAC,1,0,4,0.0,9.0,27.0,36.0,0.0,0.0,0.0,9.0,9.0,0.0,9.0,9.0,0.0,0.0,0.0,9.0,27.0
Norvel Pelle,C,27,NYK,9,0,52,3.5,4.8,0.7,1.4,0.0,0.0,3.5,4.8,1.4,6.2,7.6,0.7,0.7,4.2,0.0,2.8,7.6
,,,,,,,,,,,,,,,,,,,,,,,
Reggie Perry,PF,20,BRK,26,0,211,5.5,13.3,1.7,2.2,0.7,3.6,4.8,9.7,4.6,7.8,12.5,2.4,1.0,1.0,2.6,6.8,13.3
Theo Pinson,SG,25,NYK,17,0,34,1.1,9.5,0.0,0.0,0.0,8.5,1.1,1.1,0.0,5.3,5.3,1.1,0.0,0.0,1.1,4.2,2.1
Mason Plumlee,C,30,DET,56,56,1499,5.6,9.2,2.7,4.1,0.0,0.2,5.6,9.0,3.5,9.0,12.5,4.9,1.0,1.2,2.5,4.5,14.0
Jakob Poeltl,C,25,SAS,69,51,1845,5.2,8.4,1.2,2.4,0.0,0.0,5.2,8.4,4.3,6.4,10.7,2.6,0.9,2.4,1.6,3.4,11.6
Vincent Poirier,C,27,PHI,10,0,39,2.8,11.1,1.8,5.5,0.0,0.9,2.8,10.2,5.5,7.4,12.9,1.8,0.0,2.8,3.7,7.4,7.4
Aleksej Pokusevski,PF,19,OKC,45,28,1090,4.6,13.5,1.0,1.4,1.9,6.8,2.7,6.6,1.0,6.0,7.0,3.2,0.7,1.4,3.3,1.9,12.1
Jordan Poole,SG,21,GSW,51,7,988,7.5,17.3,3.8,4.3,3.5,10.1,3.9,7.2,0.5,2.8,3.4,3.6,0.9,0.3,1.9,3.1,22.3
Jontay Porter,PF,21,MEM,11,0,54,5.3,10.0,2.0,3.3,2.0,5.3,3.3,4.7,2.7,6.7,9.3,0.7,2.0,0.7,4.7,8.0,14.7
Kevin Porter Jr.,SG,20,HOU,26,23,835,6.7,15.8,3.0,4.1,2.2,6.9,4.6,8.9,0.9,3.4,4.3,7.1,0.8,0.3,3.9,2.6,18.6
Michael Porter Jr.,SF,22,DEN,61,54,1912,8.3,15.4,2.0,2.5,3.2,7.2,5.1,8.2,1.7,6.7,8.4,1.3,0.8,1.0,1.4,2.4,21.9
Otto Porter,SF-PF,27,TOT,28,6,606,5.8,13.5,2.1,2.5,2.3,6.2,3.5,7.3,1.7,7.4,9.0,3.3,1.0,0.2,1.5,2.4,16.1
Otto Porter,SF,27,CHI,25,6,540,5.9,13.5,2.1,2.5,2.5,6.3,3.4,7.1,1.9,7.3,9.2,3.3,0.8,0.3,1.7,2.5,16.5
Otto Porter,PF,27,ORL,3,0,66,4.9,13.6,2.7,2.7,0.5,4.9,4.4,8.7,0.0,7.6,7.6,2.7,2.2,0.0,0.0,2.2,13.1
Bobby Portis,C,25,MIL,66,7,1372,8.2,15.7,1.4,1.9,1.9,4.1,6.3,11.6,3.3,9.0,12.2,1.9,1.4,0.7,1.5,3.0,19.8
Kristaps Porziņģis,C,25,DAL,43,43,1327,8.8,18.5,3.2,3.7,2.6,7.0,6.2,11.5,2.2,8.1,10.3,1.8,0.5,1.6,1.4,3.1,23.5
Dwight Powell,C,29,DAL,58,19,966,4.5,7.2,3.6,4.6,0.2,0.8,4.3,6.4,3.0,5.7,8.7,2.3,1.3,1.1,1.5,5.0,12.7
Norman Powell,SG-SF,27,TOT,69,58,2205,7.2,15.0,3.9,4.4,2.8,6.8,4.4,8.2,0.7,2.8,3.5,2.1,1.3,0.3,1.9,2.6,20.9
Norman Powell,SG,27,TOR,42,31,1277,7.9,16.0,4.0,4.6,3.3,7.6,4.6,8.4,0.5,3.0,3.6,2.2,1.3,0.2,2.2,2.8,23.2
Norman Powell,SF,27,POR,27,27,928,6.1,13.7,3.7,4.2,2.1,5.7,4.0,8.0,0.9,2.6,3.5,2.0,1.4,0.4,1.6,2.4,17.8
Taurean Prince,PF,26,TOT,41,10,905,5.2,13.0,2.6,3.0,2.5,6.2,2.7,6.8,0.8,4.9,5.6,3.0,1.1,0.9,1.9,3.0,15.5
Taurean Prince,PF,26,BRK,12,4,218,5.0,12.2,4.0,4.5,2.1,6.1,2.8,6.1,0.3,5.3,5.6,1.2,1.3,1.3,1.8,3.5,16.0
Taurean Prince,PF,26,CLE,29,6,687,5.3,13.3,2.1,2.6,2.6,6.2,2.7,7.1,0.9,4.8,5.7,3.6,1.0,0.8,1.9,2.8,15.3
Payton Pritchard,SG,23,BOS,66,4,1268,5.2,11.9,1.1,1.3,2.9,7.0,2.3,4.8,0.9,3.5,4.5,3.4,1.1,0.3,1.5,3.0,14.5
Immanuel Quickley,PG,21,NYK,64,3,1243,6.6,16.8,4.5,5.0,3.4,8.8,3.2,8.0,0.7,3.2,4.0,3.7,0.9,0.3,1.7,3.3,21.2
Jahmi'us Ramsey,SG,19,SAC,13,0,94,5.7,14.6,1.9,1.9,1.9,7.3,3.8,7.3,0.8,3.1,3.8,2.3,1.5,0.4,1.1,3.1,15.3
Chasson Randle,PG,27,ORL,41,5,837,4.0,10.2,1.6,2.1,1.9,5.6,2.1,4.6,0.3,3.2,3.5,3.2,0.9,0.2,2.0,2.8,11.4
,,,,,,,,,,,,,,,,,,,,,,,
Julius Randle,PF,26,NYK,71,71,2667,8.1,17.8,4.7,5.8,2.2,5.3,6.0,12.6,1.1,8.6,9.8,5.8,0.9,0.2,3.3,3.0,23.1
Cam Reddish,SF,21,ATL,26,21,750,4.6,12.6,3.2,3.9,1.6,6.0,3.0,6.6,1.1,3.9,5.0,1.7,1.6,0.4,1.6,3.3,14.0
J.J. Redick,SG,36,TOT,44,0,723,5.3,13.3,2.4,2.6,3.3,8.9,2.0,4.4,0.2,3.0,3.2,2.5,0.5,0.1,1.8,2.5,16.3
J.J. Redick,SG,36,NOP,31,0,576,5.4,13.4,2.8,2.9,3.2,8.7,2.3,4.6,0.2,3.1,3.2,2.5,0.6,0.1,1.6,2.3,16.9
J.J. Redick,SG,36,DAL,13,0,147,4.7,13.0,1.0,1.2,3.7,9.3,1.0,3.7,0.2,2.7,2.9,2.7,0.5,0.2,2.7,3.2,14.0
Paul Reed,PF,21,PHI,26,0,177,8.5,15.9,0.8,1.6,0.0,1.2,8.5,14.6,6.1,6.3,12.4,2.4,2.0,2.6,2.4,5.9,17.9
Naz Reid,C,21,MIN,70,15,1347,8.1,15.5,3.1,4.4,1.6,4.7,6.5,10.9,2.2,6.4,8.6,1.9,0.9,2.0,1.8,4.8,21.0
Cameron Reynolds,SF,25,TOT,5,0,40,5.4,16.2,0.0,0.0,2.7,10.8,2.7,5.4,1.8,2.7,4.5,1.8,0.0,0.0,0.0,1.8,13.5
Cameron Reynolds,SF,25,SAS,3,0,6,6.0,12.0,0.0,0.0,0.0,0.0,6.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
Cameron Reynolds,SF,25,HOU,2,0,34,5.3,16.9,0.0,0.0,3.2,12.7,2.1,4.2,2.1,3.2,5.3,2.1,0.0,0.0,0.0,2.1,13.8
Nick Richards,PF,23,CHO,18,0,63,2.3,5.1,4.0,6.3,0.0,0.6,2.3,4.6,2.3,4.0,6.3,1.1,0.0,0.0,1.7,4.0,8.6
Josh Richardson,SG,27,DAL,59,56,1790,5.3,12.4,2.0,2.2,1.8,5.4,3.5,7.1,1.0,2.9,3.9,3.1,1.2,0.5,1.6,2.6,14.4
Grant Riller,PG,23,CHO,7,0,27,10.7,16.0,0.0,0.0,2.7,5.3,8.0,10.7,0.0,1.3,1.3,4.0,1.3,0.0,1.3,0.0,24.0
Austin Rivers,SG,28,TOT,36,7,845,4.4,10.4,0.9,1.3,2.3,6.3,2.1,4.1,0.3,3.2,3.5,3.5,1.3,0.1,1.5,2.7,12.1
Austin Rivers,SG,28,NYK,21,2,442,4.7,11.0,0.8,1.1,2.3,6.3,2.4,4.7,0.4,3.4,3.8,3.4,1.0,0.0,1.8,2.6,12.5
Austin Rivers,SG,28,DEN,15,5,403,4.1,9.8,1.1,1.5,2.4,6.4,1.7,3.4,0.3,2.9,3.1,3.5,1.6,0.2,1.3,2.9,11.7
Andre Roberson,SG,29,BRK,5,0,63,1.1,8.0,0.6,1.1,0.6,4.6,0.6,3.4,4.0,4.6,8.6,2.3,1.7,0.6,1.1,2.3,3.4
Duncan Robinson,SF,26,MIA,72,72,2262,5.0,11.4,1.0,1.2,4.0,9.8,1.0,1.7,0.1,3.9,4.0,2.0,0.7,0.3,1.3,2.9,15.0
Glenn Robinson III,SF,27,SAC,23,2,369,4.1,9.7,2.0,2.2,1.6,4.3,2.5,5.4,1.1,3.3,4.4,2.0,0.4,0.3,1.1,2.2,11.8
Jerome Robinson,SG,23,WAS,17,6,305,3.3,11.2,1.9,2.4,1.3,5.0,2.0,6.3,0.5,4.0,4.5,3.0,1.4,0.7,2.2,3.7,9.8
Justin Robinson,PG,23,OKC,9,0,88,2.9,8.6,1.2,2.0,1.6,5.7,1.2,2.9,0.4,2.5,2.9,3.7,1.2,0.0,0.8,4.1,8.6
Mitchell Robinson,C,22,NYK,31,29,853,4.9,7.4,1.1,2.2,0.0,0.0,4.9,7.4,4.8,5.9,10.6,0.7,1.5,1.9,1.1,3.6,10.8
Isaiah Roby,PF,22,OKC,61,34,1425,5.2,10.8,2.2,3.0,0.8,2.8,4.4,8.1,2.2,6.4,8.6,2.7,1.3,0.9,2.9,4.1,13.5
Rajon Rondo,PG,34,TOT,45,3,770,4.4,10.1,0.7,0.8,1.7,4.2,2.8,5.9,0.8,4.3,5.1,9.3,1.7,0.2,3.7,2.5,11.3
Rajon Rondo,PG,34,ATL,27,2,402,3.9,9.9,0.1,0.2,1.5,4.0,2.4,5.8,0.4,4.6,4.9,8.5,1.7,0.2,3.5,2.2,9.5
Rajon Rondo,PG,34,LAC,18,1,368,5.0,10.3,1.5,1.5,1.9,4.3,3.1,6.0,1.4,4.0,5.4,10.2,1.8,0.2,3.9,2.7,13.3
Derrick Rose,PG,32,TOT,50,3,1279,8.1,17.2,3.1,3.6,1.4,3.6,6.7,13.6,0.6,3.1,3.7,5.9,1.4,0.5,2.2,1.6,20.7
Derrick Rose,PG,32,DET,15,0,342,8.3,19.4,4.4,5.3,1.4,4.1,6.9,15.3,0.6,2.4,3.1,6.6,1.9,0.4,3.1,1.8,22.4
Derrick Rose,PG,32,NYK,35,3,937,8.0,16.4,2.6,3.0,1.4,3.5,6.6,12.9,0.5,3.3,3.9,5.6,1.2,0.6,1.9,1.5,20.0
Terrence Ross,SG,29,ORL,46,2,1347,6.8,16.5,3.2,3.7,2.4,7.1,4.4,9.4,0.4,3.8,4.2,2.9,1.3,0.6,2.0,2.4,19.2
,,,,,,,,,,,,,,,,,,,,,,,
Terry Rozier,SG,26,CHO,69,69,2383,7.7,17.1,2.5,3.1,3.4,8.6,4.4,8.5,0.7,3.9,4.6,4.4,1.3,0.4,1.9,1.8,21.3
Ricky Rubio,PG,30,MIN,68,51,1772,3.9,10.1,2.6,3.0,1.3,4.3,2.6,5.8,0.6,4.0,4.5,8.8,2.0,0.1,2.3,2.8,11.8
D'Angelo Russell,PG,24,MIN,42,26,1196,8.5,19.6,3.4,4.5,3.6,9.3,4.8,10.3,0.5,2.9,3.3,7.3,1.4,0.5,3.4,2.0,24.0
Domantas Sabonis,PF,24,IND,62,62,2231,7.8,14.6,3.9,5.3,0.8,2.6,7.0,12.0,2.4,9.6,12.0,6.7,1.2,0.5,3.4,3.3,20.3
Luka Šamanić,PF,21,SAS,33,4,308,5.5,12.3,1.9,3.4,1.4,5.0,4.1,7.2,1.9,6.1,7.9,1.8,0.9,0.9,2.3,5.0,14.3
JaKarr Sampson,PF,27,IND,29,4,316,6.4,12.9,2.2,3.3,0.3,1.7,6.0,11.2,3.1,5.7,8.8,0.5,0.2,1.6,1.7,5.9,15.3
Dario Šarić,C,26,PHO,50,4,871,6.3,14.1,3.5,4.1,1.9,5.6,4.4,8.6,1.9,6.0,7.9,2.7,1.2,0.2,2.4,3.9,18.1
Tomáš Satoranský,SG,29,CHI,58,18,1307,4.7,9.1,1.8,2.2,1.2,3.3,3.5,5.8,0.8,3.1,3.9,7.5,1.1,0.4,2.6,2.5,12.3
Dennis Schröder,SG,27,LAL,61,61,1956,6.1,14.0,3.8,4.5,1.3,3.9,4.8,10.1,0.6,3.3,3.9,6.5,1.3,0.2,3.0,2.9,17.3
Mike Scott,PF,32,PHI,51,12,852,3.2,8.9,0.3,0.5,2.2,6.5,1.0,2.4,0.5,4.6,5.1,1.7,1.0,0.6,0.8,3.0,9.0
Jay Scrubb,SG,20,LAC,4,1,84,6.0,15.4,2.1,2.1,0.9,3.9,5.1,11.6,0.9,5.1,6.0,0.4,1.7,0.0,3.0,2.1,15.0
Collin Sexton,SG,22,CLE,60,60,2115,8.9,18.8,5.3,6.5,1.7,4.5,7.3,14.3,1.0,2.2,3.2,4.5,1.1,0.2,2.8,2.7,24.9
Landry Shamet,SG,23,BRK,61,12,1403,4.8,11.7,1.7,2.0,3.3,8.5,1.5,3.2,0.3,2.6,2.9,2.5,0.8,0.3,1.2,2.4,14.5
Iman Shumpert,SG,30,BRK,2,0,11,3.3,13.1,0.0,0.0,0.0,9.8,3.3,3.3,3.3,0.0,3.3,0.0,3.3,0.0,3.3,0.0,6.5
Pascal Siakam,PF,26,TOR,56,56,2006,7.8,17.2,4.5,5.4,1.3,4.4,6.5,12.8,1.7,5.6,7.3,4.5,1.1,0.7,2.3,3.1,21.5
Chris Silva,PF,24,TOT,15,0,92,3.9,6.3,4.3,5.9,0.4,0.4,3.5,5.9,2.7,7.8,10.6,2.3,0.4,2.3,3.9,9.4,12.5
Chris Silva,PF,24,MIA,11,0,83,3.9,5.6,4.8,6.5,0.4,0.4,3.5,5.2,3.0,7.8,10.8,2.6,0.4,2.2,3.9,8.7,13.0
Chris Silva,PF,24,SAC,4,0,9,4.0,12.0,0.0,0.0,0.0,0.0,4.0,12.0,0.0,8.0,8.0,0.0,0.0,4.0,4.0,16.0,8.0
