Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FT,FTA,3P,3PA,2P,2PA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Sterling Brown,SG,25,HOU,51,14,1229,4.4,9.8,0.7,0.9,2.7,6.3,1.7,3.5,1.1,5.4,6.6,2.1,1.1,0.4,1.2,2.8,12.2
Troy Brown Jr.,SF,21,TOT,34,0,524,4.3,9.9,1.0,1.4,1.5,4.8,2.7,5.1,1.4,5.8,7.2,2.0,0.7,0.4,1.4,3.4,11.1
Troy Brown Jr.,SF,21,WAS,21,0,287,4.1,11.2,1.3,1.9,1.8,5.8,2.4,5.4,1.4,6.3,7.7,2.4,0.4,0.5,2.0,3.6,11.3
Troy Brown Jr.,SF,21,CHI,13,0,237,4.4,8.4,0.8,0.9,1.2,3.6,3.2,4.7,1.4,5.3,6.7,1.5,1.1,0.3,0.8,3.0,10.8
Jalen Brunson,PG,24,DAL,68,12,1697,7.0,13.3,2.5,3.2,1.7,4.2,5.2,9.1,0.6,4.3,4.9,5.1,0.7,0.0,1.7,2.3,18.2
Elijah Bryant,SG,25,MIL,1,0,32,6.8,14.6,3.4,3.4,1.1,5.6,5.6,9.0,2.3,4.5,6.8,3.4,0.0,1.1,4.5,4.5,18.0
Thomas Bryant,C,23,WAS,10,10,271,7.8,12.1,2.1,3.2,1.2,2.8,6.6,9.3,2.4,5.7,8.1,2.0,0.5,1.1,1.5,4.1,19.0
,,,,,,,,,,,,,,,,,,,,,,,
Reggie Bullock,SF,29,NYK,65,64,1949,4.6,10.4,0.9,1.0,3.0,7.4,1.6,3.0,0.3,3.8,4.1,1.8,1.0,0.2,0.8,2.7,13.1
Trey Burke,PG,28,DAL,62,1,911,6.0,13.9,2.0,2.3,2.3,6.5,3.7,7.5,0.4,1.7,2.1,3.2,1.4,0.3,1.3,2.5,16.2
Alec Burks,SG,29,NYK,49,5,1255,6.0,14.3,2.9,3.4,2.9,7.1,3.1,7.3,0.6,5.9,6.5,3.1,0.9,0.4,1.4,2.9,17.9
Jimmy Butler,SF,31,MIA,52,52,1745,7.6,15.2,7.4,8.6,0.5,2.1,7.0,13.1,1.9,5.5,7.4,7.6,2.2,0.4,2.2,1.5,23.0
Bruno Caboclo,PF,25,HOU,6,0,36,8.0,17.0,1.0,2.0,0.0,5.0,8.0,12.0,3.0,11.0,14.0,1.0,0.0,2.0,4.0,6.0,17.0
Devontae Cacok,PF,24,LAL,20,1,98,6.2,10.7,1.8,4.0,0.0,0.0,6.2,10.7,4.4,7.3,11.8,0.4,1.8,1.5,1.8,2.9,14.3
Kentavious Caldwell-Pope,SG,27,LAL,67,67,1902,4.1,9.6,1.8,2.1,2.3,5.5,1.9,4.0,0.5,2.9,3.4,2.4,1.2,0.5,1.2,2.2,12.4
Facundo Campazzo,PG,29,DEN,65,19,1425,3.0,8.0,2.0,2.3,1.9,5.5,1.1,2.5,0.6,2.8,3.4,5.9,2.0,0.4,1.8,3.3,10.0
Vlatko Čančar,PF,23,DEN,41,1,281,4.2,9.2,1.3,1.7,1.2,4.2,3.1,5.0,1.4,5.0,6.4,1.8,1.4,0.3,1.8,2.3,10.9
Devin Cannady,PG,24,ORL,8,0,74,5.4,13.6,2.9,3.4,2.9,7.8,2.4,5.8,0.0,2.4,2.4,0.5,2.4,0.5,1.0,4.4,16.5
Clint Capela,C,26,ATL,63,63,1898,7.8,13.2,2.5,4.3,0.0,0.0,7.8,13.2,5.6,11.5,17.1,0.9,0.8,2.4,1.4,2.8,18.1
Vernon Carey Jr.,C,19,CHO,19,4,115,5.6,11.3,2.8,3.4,0.3,2.2,5.3,9.1,1.9,6.6,8.5,0.6,0.3,1.6,1.6,4.1,14.4
Jevon Carter,PG,25,PHO,60,1,717,4.7,11.2,0.2,0.4,2.8,7.6,1.9,3.6,0.8,3.8,4.6,3.6,1.5,0.5,0.8,2.8,12.5
Wendell Carter Jr.,C,21,TOT,54,44,1375,6.0,12.0,3.4,4.7,0.4,1.3,5.6,10.6,3.5,8.1,11.6,2.7,0.9,1.1,2.0,3.8,15.9
Wendell Carter Jr.,C,21,CHI,32,25,792,5.9,11.5,3.7,5.0,0.4,1.0,5.5,10.5,3.2,8.2,11.4,3.1,0.8,1.1,2.2,4.4,15.8
Wendell Carter Jr.,C,21,ORL,22,19,583,6.2,12.7,3.0,4.2,0.4,1.8,5.8,10.9,3.8,8.1,11.9,2.2,1.0,1.1,1.8,3.1,15.9
Michael Carter-Williams,SG,29,ORL,31,25,800,4.7,12.2,2.2,3.6,0.7,2.7,4.1,9.4,1.8,4.5,6.3,5.8,1.1,0.8,3.1,3.6,12.3
Alex Caruso,PG,26,LAL,58,6,1216,3.9,9.0,1.5,2.3,1.6,4.1,2.3,5.0,0.9,4.1,5.0,4.7,1.9,0.4,2.3,3.2,11.0
Willie Cauley-Stein,C,27,DAL,53,16,906,4.6,7.2,1.9,3.1,0.0,0.4,4.5,6.8,2.6,6.8,9.4,1.4,0.8,1.7,1.2,5.1,11.1
Chris Chiozza,PG,25,BRK,22,1,232,4.8,13.7,2.0,2.6,2.0,6.5,2.8,7.1,0.5,3.3,3.7,10.1,1.1,0.9,2.5,2.9,13.7
Marquese Chriss,PF,23,GSW,2,0,27,6.7,18.7,2.7,5.3,1.3,6.7,5.3,12.0,4.0,13.3,17.3,2.7,0.0,2.7,2.7,4.0,17.3
Gary Clark,SF-PF,26,TOT,39,11,654,2.2,7.3,0.4,0.6,1.7,5.9,0.5,1.3,1.8,4.5,6.3,1.7,0.7,0.4,0.9,1.9,6.6
Gary Clark,SF,26,ORL,35,11,637,2.3,7.4,0.5,0.6,1.8,6.1,0.5,1.3,1.9,4.5,6.3,1.7,0.7,0.4,1.0,1.9,6.7
Gary Clark,SF,26,DEN,2,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
Gary Clark,PF,26,PHI,2,0,13,0.0,2.8,0.0,0.0,0.0,0.0,0.0,2.8,0.0,5.5,5.5,2.8,2.8,0.0,0.0,2.8,0.0
,,,,,,,,,,,,,,,,,,,,,,,
Brandon Clarke,PF,24,MEM,59,16,1415,6.5,12.6,2.0,2.9,0.5,2.0,6.0,10.6,2.5,5.9,8.3,2.4,1.5,1.3,0.8,2.1,15.5
Jordan Clarkson,SG,28,UTA,68,1,1818,9.0,21.3,2.6,2.9,4.1,11.9,4.9,9.4,0.9,4.5,5.4,3.3,1.2,0.2,2.3,2.2,24.8
Nicolas Claxton,C,21,BRK,32,1,594,5.5,8.8,1.9,3.9,0.1,0.3,5.4,8.5,2.6,7.5,10.1,1.7,1.4,2.4,1.1,4.1,12.8
