id,full_name,Year_Drafted,Overall_Pick,Round,Drafted_by
1628425,Sterling Brown,2017.0,46.0,2.0,Philadelphia 76ers
1628972,Troy Brown Jr.,2018.0,15.0,1.0,Washington Wizards
1628973,Jalen Brunson,2018.0,33.0,2.0,Dallas Mavericks
1628418,Thomas Bryant,2017.0,42.0,2.0,Utah Jazz
203493,Reggie Bullock,2013.0,25.0,1.0,Los Angeles Clippers
203504,Trey Burke,2013.0,9.0,1.0,Minnesota Timberwolves
202692,Alec Burks,2011.0,12.0,1.0,Utah Jazz
202710,Jimmy Butler,2011.0,30.0,1.0,Chicago Bulls
203998,Bruno Caboclo,2014.0,20.0,1.0,Toronto Raptors
203484,Kentavious Caldwell-Pope,2013.0,8.0,1.0,Detroit Pistons
1628427,Vlatko Cancar,2017.0,49.0,2.0,Denver Nuggets
203991,Clint Capela,2014.0,25.0,1.0,Houston Rockets
201960,DeMarre Carroll,2009.0,27.0,1.0,Memphis Grizzlies
1628975,Jevon Carter,2018.0,32.0,2.0,Memphis Grizzlies
1713,Vince Carter,1998.0,5.0,1.0,Golden State Warriors
1628976,Wendell Carter Jr.,2018.0,7.0,1.0,Chicago Bulls
203487,Michael Carter-Williams,2013.0,11.0,1.0,Philadelphia 76ers
1626161,Willie Cauley-Stein,2015.0,6.0,1.0,Sacramento Kings
2199,Tyson Chandler,2001.0,2.0,1.0,Los Angeles Clippers
201163,Wilson Chandler,2007.0,23.0,1.0,New York Knicks
1627737,Marquese Chriss,2016.0,8.0,1.0,Phoenix Suns
1629109,Gary Clark,1957.0,21.0,3.0,New York Knicks
1629634,Brandon Clarke,2019.0,21.0,1.0,Oklahoma City Thunder
203903,Jordan Clarkson,2014.0,46.0,2.0,Washington Wizards
1629651,Nicolas Claxton,2019.0,31.0,2.0,Brooklyn Nets
1628381,John Collins,2017.0,19.0,1.0,Atlanta Hawks
1628381,John Collins,1972.0,131.0,9.0,Buffalo Braves
1628380,Zach Collins,2017.0,10.0,1.0,Sacramento Kings
201144,Mike Conley,2007.0,4.0,1.0,Memphis Grizzlies
1626192,Pat Connaughton,2015.0,41.0,2.0,Brooklyn Nets
202326,DeMarcus Cousins,2010.0,5.0,1.0,Sacramento Kings
203459,Allen Crabbe,2013.0,31.0,2.0,Cleveland Cavaliers
203109,Jae Crowder,2012.0,34.0,2.0,Cleveland Cavaliers
1629633,Jarrett Culver,2019.0,6.0,1.0,Phoenix Suns
201939,Stephen Curry,2009.0,7.0,1.0,Golden State Warriors
203076,Anthony Davis,2012.0,1.0,1.0,New Orleans Hornets
202334,Ed Davis,2010.0,13.0,1.0,Toronto Raptors
201942,DeMar DeRozan,2009.0,9.0,1.0,Toronto Raptors
1628978,Donte DiVincenzo,2018.0,17.0,1.0,Milwaukee Bucks
1627767,Cheick Diallo,2016.0,33.0,2.0,LA Clippers
1628977,Hamidou Diallo,2018.0,45.0,2.0,Brooklyn Nets
203476,Gorgui Dieng,2013.0,21.0,1.0,Utah Jazz
203915,Spencer Dinwiddie,2014.0,38.0,2.0,Detroit Pistons
1629029,Luka Doncic,2018.0,3.0,1.0,Atlanta Hawks
1628422,Damyean Dotson,2017.0,44.0,2.0,New York Knicks
1629635,Sekou Doumbouya,2019.0,15.0,1.0,Detroit Pistons
201609,Goran Dragic,2008.0,45.0,2.0,San Antonio Spurs
203083,Andre Drummond,2012.0,9.0,1.0,Detroit Pistons
201162,Jared Dudley,2007.0,22.0,1.0,Charlotte Bobcats
1627739,Kris Dunn,2016.0,5.0,1.0,Minnesota Timberwolves
201142,Kevin Durant,2007.0,2.0,1.0,Seattle SuperSonics
1629035,Carsen Edwards,2019.0,33.0,2.0,Philadelphia 76ers
1627740,Henry Ellenson,2016.0,18.0,1.0,Detroit Pistons
201961,Wayne Ellington,2009.0,28.0,1.0,Minnesota Timberwolves
203954,Joel Embiid,2014.0,3.0,1.0,Philadelphia 76ers
203516,James Ennis III,2013.0,50.0,2.0,Atlanta Hawks
1628980,Jacob Evans,2018.0,28.0,1.0,Golden State Warriors
203957,Dante Exum,2014.0,5.0,1.0,Utah Jazz
202324,Derrick Favors,2010.0,3.0,1.0,New Jersey Nets
1628390,Terrance Ferguson,2017.0,21.0,1.0,Oklahoma City Thunder
1628981,Bruno Fernando,2019.0,34.0,2.0,Philadelphia 76ers
203095,Evan Fournier,2012.0,20.0,1.0,Denver Nuggets
1628368,De'Aaron Fox,2017.0,5.0,1.0,Sacramento Kings
1628982,Melvin Frazier Jr.,2018.0,35.0,2.0,Orlando Magic
1628365,Markelle Fultz,2017.0,1.0,1.0,Philadelphia 76ers
1629655,Daniel Gafford,2019.0,38.0,2.0,Chicago Bulls
201568,Danilo Gallinari,2008.0,6.0,1.0,New York Knicks
1629636,Darius Garland,2019.0,5.0,1.0,Cleveland Cavaliers
201188,Marc Gasol,2007.0,48.0,2.0,Los Angeles Lakers
200752,Rudy Gay,2006.0,8.0,1.0,Houston Rockets
202331,Paul George,2010.0,10.0,1.0,Indiana Pacers
201959,Taj Gibson,2009.0,26.0,1.0,Chicago Bulls
1628385,Harry Giles III,2017.0,20.0,1.0,Portland Trail Blazers
1628983,Shai Gilgeous-Alexander,2018.0,11.0,1.0,Charlotte Hornets
203497,Rudy Gobert,2013.0,27.0,1.0,Denver Nuggets
203932,Aaron Gordon,2014.0,4.0,1.0,Orlando Magic
201569,Eric Gordon,2008.0,7.0,1.0,Los Angeles Clippers
1628984,Devonte' Graham,2018.0,34.0,2.0,Atlanta Hawks
203924,Jerami Grant,2014.0,39.0,2.0,Philadelphia 76ers
201980,Danny Green,2009.0,46.0,2.0,Cleveland Cavaliers
203110,Draymond Green,2012.0,35.0,2.0,Golden State Warriors
101123,Gerald Green,2005.0,18.0,1.0,Boston Celtics
201145,Jeff Green,2007.0,5.0,1.0,Boston Celtics
201933,Blake Griffin,2009.0,1.0,1.0,Los Angeles Clippers
1629657,Kyle Guy,2019.0,55.0,2.0,New York Knicks
1629060,Rui Hachimura,2019.0,9.0,1.0,Washington Wizards
1628985,Devon Hall,2018.0,53.0,2.0,Oklahoma City Thunder
203501,Tim Hardaway Jr.,2013.0,24.0,1.0,New York Knicks
201935,James Harden,2009.0,3.0,1.0,Oklahoma City Thunder
203090,Maurice Harkless,2012.0,15.0,1.0,Philadelphia 76ers
1626149,Montrezl Harrell,2015.0,32.0,2.0,Houston Rockets
203914,Gary Harris,2014.0,19.0,1.0,Chicago Bulls
203925,Joe Harris,2014.0,33.0,2.0,Cleveland Cavaliers
202699,Tobias Harris,2011.0,19.0,1.0,Charlotte Bobcats
1628404,Josh Hart,2017.0,30.0,1.0,Utah Jazz
1628392,Isaiah Hartenstein,2017.0,43.0,2.0,Houston Rockets
1629637,Jaxson Hayes,2019.0,8.0,1.0,Atlanta Hawks
202330,Gordon Hayward,2010.0,9.0,1.0,Utah Jazz
